modality,pred_id,roi,ad,azimuth,dxx,dxy,dxz,dyy,dyz,dzz,fa,inclination,md,rd,ses,sub
pc-bssfp,2,GM,137036862648.5656,6.333086381486464,0.2330615764820503,38.34639880814562,29.29014911165612,0.2259625798531447,49.84081446746068,0.2339615496540045,2.796182618557884,1.3575847441932525,0.2275834503667137,0.2842320445162291,1.0,117.0
pc-bssfp,2,WM,0.2674247664214629,5.898740329666349,0.2597974822097238,30.506121321893048,15.768804604758998,0.2887670302554533,36.93310175535662,0.2959018908181534,0.955926227801604,1.6936903911350083,0.2850220285013134,0.2989010060905316,1.0,117.0
pc-bssfp,3,CSF,0.2200796522975195,3.3136245482011746,0.2701450877843258,0.0599612578928647,0.0588070869136391,0.0783442140822114,0.060760459590771,0.1444965081224845,2.0841742718213982,1.0850224333156937,0.2755820346908525,0.3059159163402122,2.0,117.0
pc-bssfp,3,GM,0.1599859011586126,4.011827820283253,0.2897295634276615,0.0624635704261454,0.06035326189325,0.0572423300241596,0.0645820371380857,0.1394497278671737,2.706687988321849,1.3839728584535471,0.2335936479322302,0.3029441725254703,2.0,117.0
pc-bssfp,3,WM,0.2664002145996308,4.487206834674211,0.055587723545846,0.0749517888715887,0.0744587493826066,0.062884895001543,0.0715904617463202,0.0640933800515009,0.980872866412955,1.7276564890420911,0.2825873345401651,0.2925613791430306,2.0,117.0
pc-bssfp,4,CSF,0.2179170554569615,3.3196186103529555,0.2766544465369381,47.03776265868116,47.69936323123776,0.2826414322638561,27.484302645035115,0.2872231039801867,2.0686453188138576,1.085565723636278,0.2725715802375071,0.3029460029268908,2.0,117.0
pc-bssfp,4,GM,0.1582187298094978,4.0281575537274446,0.2361411963070607,64.20742733467594,51.709410083368304,0.2329457095104171,56.33902430269446,0.2354219413993573,2.702777145059818,1.3845383883136453,0.2322141930585575,0.3013045588286485,2.0,117.0
pc-bssfp,4,WM,0.2665508563746978,4.474984591448581,0.2582734978114029,19.10994692766568,16.50941691283958,0.2819954880557829,13.352049223822744,0.2932483668475513,0.9754721307739374,1.7205951078293744,0.2818489033704969,0.2906622740590548,2.0,117.0
pc-bssfp,5,CSF,0.2160303211271293,3.326937843013517,0.2650634838507048,0.059951533108869,0.0588179370216107,0.0778493085308489,0.0608192472553089,0.1430178481631613,2.163575990543109,1.0839145445436005,0.2772754656948681,0.3093796232697446,2.0,117.0
pc-bssfp,5,GM,0.1575680585468458,3.9967697597383234,0.2842722549398036,0.0633491607293057,0.0611978942541966,0.0569048193479455,0.0655174417175745,0.1379628614346019,2.7985117787789213,1.387434799851099,0.2347734947403516,0.304399043058196,2.0,117.0
pc-bssfp,5,WM,0.2646656670965251,4.524841720007754,0.0557058796301299,0.0755063622089778,0.0749051688971754,0.0636714651629416,0.0722299151372548,0.0648159184646114,0.9948939463702696,1.7429215210443538,0.2841128531277214,0.3004531995405842,2.0,117.0
pc-bssfp,6,CSF,0.2668032032137544,3.126976960930953,0.0636092992578649,0.0555441316273348,0.1293542024467923,0.0649029136039946,0.0563713278613069,0.0620827528366464,2.122546309568852,1.1165180392245306,0.2559729367157907,0.3331841657400298,3.0,117.0
pc-bssfp,6,GM,0.1571153547609245,4.362037719737952,0.0514884644393183,0.0621875731047648,0.0600960752517542,0.0517358986634868,0.0645419162952993,0.0511043254129454,2.6942009133579496,1.3960839574160924,0.2289737857917704,0.2846944356302825,3.0,117.0
pc-bssfp,6,WM,0.2668784858398663,7.5731098887807935,0.0551080992016095,0.0749503959361122,0.0744944017712438,0.062815880596919,0.0715442035123758,0.0637440063342515,0.9536635204444236,1.7089939408751025,0.2810717218773952,0.290049341967598,3.0,117.0
pc-bssfp,7,CSF,0.2418408828581505,3.134161975963269,0.2652577772341355,37.64949062102871,28.221959141065746,0.264890923364927,29.962225914387343,0.2705519120652887,2.1065736325246216,1.1160060087318897,0.2521347443886796,0.3286934621743504,3.0,117.0
pc-bssfp,7,GM,0.1548723225210792,4.360154818570447,0.2357139285094378,30.845950006935187,42.08557328779571,0.2317254683410444,36.8221437060627,0.2321741954674428,2.691039771053049,1.3976085465796853,0.2269454077907586,0.2825566431320747,3.0,117.0
pc-bssfp,7,WM,0.267090580077706,7.580245346028232,0.2564939004535404,19.6639709428765,13.104715005060136,0.2821536455880795,18.782928475849044,0.2920180151490665,0.9489567725694168,1.70341938602845,0.28060844417432,0.288626464991683,3.0,117.0
pc-bssfp,8,CSF,0.2639651430003377,3.1341446486061977,0.0627727179436901,0.0556860488141957,0.1288225380281795,0.0640055435662811,0.0565707561598593,0.061918045952733,2.198694465373824,1.116732424479017,0.2544841409879557,0.33323171190003,3.0,117.0
pc-bssfp,8,GM,0.1538102825158447,4.446315215418801,0.051267226427363,0.0630983536128419,0.0609592207332201,0.0509748491818581,0.0654983681528378,0.0514348195602572,2.777268257300612,1.3987859268405882,0.2281706013328427,0.2858656702387931,3.0,117.0
pc-bssfp,8,WM,0.2653298923605465,8.234702673204794,0.0553236210416721,0.0755078652996763,0.0749441786292835,0.063595350885592,0.0721924272498574,0.0646104579180075,0.9673582946594522,1.7260914236105318,0.2832442071756068,0.299039863347832,3.0,117.0
pc-bssfp,9,CSF,1620377373815.8962,14.169796455440787,0.0624690217355636,0.0546157213834088,0.0538930365158461,0.062452234716245,0.0563648718025229,0.060885342181408,2.9917384753370744,0.9925466411218076,0.2362666739768066,0.277062474472772,1.0,42.0
pc-bssfp,9,GM,3100148424051.346,6.973948545218611,0.0535738683680794,0.0597908963704394,0.0587462145313517,0.0527155691270516,0.0618475046066142,0.0506331623353501,2.579058879085686,1.1015261994767576,0.2444737215435812,0.3105100515797583,1.0,42.0
pc-bssfp,9,WM,1319459090713.5227,5.763448555213628,0.0537479305548998,0.0751635275926941,0.0729545476780948,0.0626893298528464,0.0711804979120352,0.0639097186078364,0.9922276104460148,1.4774433755777776,0.2879896107548318,0.314727414246678,1.0,42.0
pc-bssfp,10,CSF,1516062318117.7163,14.227755091872304,0.0572043248685851,0.0553575245316595,0.0546360173874626,0.0567785116788315,0.0571583340765801,0.0553300291853383,3.1320167099111544,0.9958423553199832,0.2163573658557412,0.2615531775244422,1.0,42.0
pc-bssfp,10,GM,2885054996815.7627,6.999326905123767,0.051144336380292,0.0605521568021718,0.0594645316331341,0.0495248165133512,0.0626411680738742,0.0484023328375958,2.6916864955924624,1.1022259911701144,0.2333653563136759,0.302679288470532,1.0,42.0
pc-bssfp,10,WM,1235794080159.829,5.821352870743639,0.0530492344748882,0.0759135777020444,0.0735705089560635,0.0624920624329408,0.0718391423587782,0.0635678408402542,1.012579538967319,1.5610263382694671,0.2860467229256329,0.3158288676902864,1.0,42.0
